Product,Type,Date,Process_Size,TDP,Die_Size,Transistor,Freq,Foundry,Vendor,FP16,FP32,FP64
Intel Core i7-970,CPU,7/19/2010,32,130,239,1170,3200,Intel,Intel,,,
Intel Celeron B840,CPU,07/01/2011,32,35,131,504,1900,Intel,Intel,,,
Intel Core i7-8850H,CPU,04/02/2018,14,45,149,1929.922279,2700,Intel,Intel,,,
AMD Athlon II X3 405e,CPU,10/20/2009,45,45,169,300,2300,Unknown,AMD,,,
Intel Core i3-10110Y,CPU,8/21/2019,14,9,188.4404446,1929.922279,1000,Intel,Intel,,,
AMD Ryzen 3 3300X,CPU,4/24/2020,7,65,74,3800,3800,TSMC,AMD,,,
Intel Core i3-2120T,CPU,09/04/2011,32,35,131,504,2600,Intel,Intel,,,
AMD Athlon II X2 245e,CPU,05/11/2010,45,45,117,410,2900,Unknown,AMD,,,
Intel Pentium 4 519K,CPU,01/01/2005,90,84,109,125,3060,Intel,Intel,,,
Intel Core 2 Duo E4400,CPU,7/22/2007,65,65,111,167,2000,Intel,Intel,,,
AMD Athlon 1400,CPU,06/06/2001,180,72,120,37,1400,Unknown,AMD,,,
AMD Sempron 3000+,CPU,11/23/2004,90,25,188.4404446,63,1800,Unknown,AMD,,,
Intel Xeon E5-2637 v2,CPU,09/01/2013,22,130,160,1400,3500,Intel,Intel,,,
Intel Core i5-9500,CPU,10/19/2018,14,65,188.4404446,1929.922279,3000,Intel,Intel,,,
Intel Xeon Silver 4316,CPU,04/06/2021,10,150,188.4404446,1929.922279,2300,Intel,Intel,,,
Intel Xeon E7-4850 v3,CPU,06/01/2015,22,115,160,1400,2200,Intel,Intel,,,
Intel Core i3-8000,CPU,09/01/2018,14,65,188.4404446,1929.922279,3600,Intel,Intel,,,
Intel Pentium G3420,CPU,09/01/2013,22,54,177,1400,3200,Intel,Intel,,,
Intel Pentium G4560,CPU,01/03/2017,14,51,188.4404446,1929.922279,3500,Intel,Intel,,,
Intel Core i5-4590,CPU,05/01/2014,22,84,177,1400,3300,Intel,Intel,,,
Intel Xeon 5120,CPU,6/26/2006,65,65,188.4404446,1929.922279,1866,Intel,Intel,,,
AMD Athlon 64 3400+,CPU,01/06/2004,130,89,193,105,2200,Unknown,AMD,,,
Intel Pentium Gold G6400,CPU,4/30/2020,14,58,188.4404446,1929.922279,4000,Intel,Intel,,,
Intel Xeon E5-2630 v2,CPU,09/01/2013,22,80,160,1400,2600,Intel,Intel,,,
Intel Core 2 Duo E8190,CPU,01/01/2008,45,65,104,410,2667,Intel,Intel,,,
Intel Pentium G640T,CPU,06/03/2012,32,35,131,504,2400,Intel,Intel,,,
Intel Core 2 Solo ULV SU3500,CPU,3/29/2009,45,5,107,410,1400,Intel,Intel,,,
AMD Athlon Gold 3150GE,CPU,7/21/2020,12,35,188.4404446,1929.922279,3500,GF,AMD,,,
AMD Athlon 220GE,CPU,06/01/2018,14,35,192,4800,3400,Unknown,AMD,,,
Intel Core i7-8705G,CPU,02/01/2018,14,65,188.4404446,1929.922279,3100,Intel,Intel,,,
AMD Sempron 2600+,CPU,01/01/2001,130,25,144,69,1600,Unknown,AMD,,,
AMD Athlon II X3 425,CPU,10/20/2009,45,95,169,300,2700,Unknown,AMD,,,
Intel Core i5-6600K,CPU,07/02/2015,14,95,188.4404446,1929.922279,3500,Intel,Intel,,,
AMD Athlon 64 4000+ (F3),CPU,2/20/2007,90,59,1,154,2600,Unknown,AMD,,,
Intel Xeon 5063,CPU,5/23/2006,65,95,188.4404446,1929.922279,3200,Intel,Intel,,,
AMD Sempron LE-1250,CPU,10/08/2007,65,45,188.4404446,1929.922279,2200,Unknown,AMD,,,
Intel Xeon 3.4,CPU,6/28/2004,90,135,135,155,3400,Intel,Intel,,,
Intel Celeron N2840,CPU,5/22/2014,22,7,188.4404446,1929.922279,2160,Intel,Intel,,,
Intel Celeron G5920,CPU,4/30/2020,14,58,188.4404446,1929.922279,3500,Intel,Intel,,,
AMD Athlon II X3 445,CPU,05/11/2010,45,95,169,300,3100,Unknown,AMD,,,
Intel Pentium Gold G6500,CPU,4/30/2020,14,58,188.4404446,1929.922279,4100,Intel,Intel,,,
AMD Ryzen 3 3200G,CPU,07/07/2019,12,65,210,49,3600,GF,AMD,,,
AMD Opteron 146,CPU,08/02/2005,90,67,188.4404446,106,2000,Unknown,AMD,,,
AMD A8-7680,CPU,10/26/2018,28,45,246,1178,3500,Unknown,AMD,,,
AMD Ryzen Threadripper 1900,CPU,8/31/2017,14,125,213,9600,3100,GF,AMD,,,
AMD Ryzen 7 2800H,CPU,5/30/2018,14,15,246,1929.922279,3400,GF,AMD,,,
AMD Athlon 64 X2 3800+ EE SFF,CPU,5/23/2006,90,35,220,154,2000,Unknown,AMD,,,
Intel Core i5-10210Y,CPU,8/21/2019,14,9,188.4404446,1929.922279,1000,Intel,Intel,,,
AMD Ryzen 5 2500U,CPU,10/26/2017,14,15,246,1929.922279,2000,GF,AMD,,,
Intel Core i3-10300,CPU,4/30/2020,14,62,188.4404446,1929.922279,3700,Intel,Intel,,,
AMD Opteron 248,CPU,12/01/2004,90,85,188.4404446,106,2200,Unknown,AMD,,,
AMD Opteron X2 275,CPU,5/31/2005,90,95,188.4404446,233,2200,Unknown,AMD,,,
Intel Xeon E5-4607,CPU,5/14/2012,32,95,435,2270,2200,Intel,Intel,,,
Intel Core 2 Duo T7800,CPU,9/27/2007,65,35,143,293,2600,Intel,Intel,,,
AMD Opteron 844,CPU,6/30/2003,130,85,193,106,1800,Unknown,AMD,,,
Intel Pentium M 1.70,CPU,06/02/2003,130,24,100,77,1700,Intel,Intel,,,
Intel Xeon E7-8870 v3,CPU,06/01/2015,22,140,160,1400,2100,Intel,Intel,,,
AMD Athlon II X3 400e,CPU,10/20/2009,45,45,169,300,2200,Unknown,AMD,,,
Intel Core i5-10310Y,CPU,8/21/2019,14,9,188.4404446,1929.922279,1100,Intel,Intel,,,
AMD Opteron X2 885,CPU,03/06/2006,90,95,188.4404446,233,2600,Unknown,AMD,,,
Intel Pentium E5300,CPU,11/30/2008,45,65,82,228,2600,Intel,Intel,,,
AMD Opteron 840,CPU,09/09/2003,130,82,193,106,1400,Unknown,AMD,,,
AMD Sempron 145,CPU,09/01/2010,45,45,117,234,2800,Unknown,AMD,,,
Intel Pentium M 730,CPU,1/19/2005,90,27,84,140,1600,Intel,Intel,,,
Intel Atom E665CT,CPU,11/22/2010,45,7,26,47,1300,Intel,Intel,,,
Intel Celeron 2.0,CPU,9/18/2002,130,73,146,55,2000,Intel,Intel,,,
Intel Xeon 3.06,CPU,7/14/2003,130,97,237,286,3066,Intel,Intel,,,
Intel Xeon Platinum 9282,CPU,04/02/2019,14,400,188.4404446,8000,2600,Intel,Intel,,,
AMD Opteron 142,CPU,5/18/2004,130,82,193,106,1600,Unknown,AMD,,,
Intel Xeon X5650,CPU,3/16/2010,32,95,239,1170,2666,Intel,Intel,,,
AMD Z-01,CPU,06/01/2011,40,6,188.4404446,1929.922279,1000,Unknown,AMD,,,
AMD A4-3300,CPU,09/07/2011,32,65,228,1178,2500,Unknown,AMD,,,
AMD FX-8150,CPU,10/12/2011,32,125,315,1200,3600,Unknown,AMD,,,
Intel Xeon E7-8850,CPU,04/03/2011,32,130,513,2600,2000,Intel,Intel,,,
AMD Athlon 64 X2 3800+ EE,CPU,5/23/2006,90,65,220,154,2000,Unknown,AMD,,,
Intel Xeon L5630,CPU,3/16/2010,32,40,239,1170,2133,Intel,Intel,,,
Intel Core Solo ULV U1500,CPU,4/19/2006,65,5,90,151,1333,Intel,Intel,,,
Intel Pentium 4 511,CPU,01/01/2005,90,84,109,125,2800,Intel,Intel,,,
Intel Celeron 440,CPU,06/03/2007,65,35,77,105,2000,Intel,Intel,,,
Intel Xeon Platinum 8253,CPU,12/11/2018,14,125,188.4404446,8000,2200,Intel,Intel,,,
Intel Atom Z650,CPU,04/11/2011,45,3,65,140,1200,Intel,Intel,,,
AMD A10-6800K,CPU,06/01/2013,32,100,246,1178,4100,Unknown,AMD,,,
AMD A10-6790K,CPU,10/28/2013,32,100,246,1178,4000,Unknown,AMD,,,
Intel Celeron D 340,CPU,9/22/2004,90,84,109,125,2930,Intel,Intel,,,
AMD Turion X2 RM-75,CPU,12/01/2008,65,35,188.4404446,1929.922279,2200,Unknown,AMD,,,
AMD Opteron 846,CPU,12/01/2004,90,85,188.4404446,106,2000,Unknown,AMD,,,
Intel Pentium M 755,CPU,05/10/2004,90,21,84,140,2000,Intel,Intel,,,
AMD Mobile Athlon 64 2700+,CPU,08/01/2004,130,82,193,106,1600,Unknown,AMD,,,
AMD Athlon X4 970,CPU,7/27/2017,28,65,246,1178,3800,Unknown,AMD,,,
AMD Sempron 2200+,CPU,01/01/2001,130,62,101,63,1500,Unknown,AMD,,,
AMD EPYC 7713,CPU,3/15/2021,7,225,188.4404446,1929.922279,2000,TSMC,AMD,,,
Intel Core i3-4100E,CPU,09/04/2013,22,37,118,1400,2400,Intel,Intel,,,
Intel Core i5-9600,CPU,10/19/2018,14,65,188.4404446,1929.922279,3100,Intel,Intel,,,
Intel Core m3-8114Y,CPU,05/05/2018,10,28,123,1929.922279,1500,Intel,Intel,,,
AMD A8-5500B,CPU,10/02/2012,32,65,246,1178,3200,Unknown,AMD,,,
AMD Opteron 244,CPU,12/01/2004,90,85,188.4404446,106,1800,Unknown,AMD,,,
AMD Mobile Athlon 64 2800+,CPU,08/01/2004,130,35,193,106,1800,Unknown,AMD,,,
Intel Xeon X5570,CPU,3/30/2009,45,95,263,731,2933,Intel,Intel,,,
Intel Core i9-9980XE,CPU,10/19/2018,14,165,188.4404446,1929.922279,3000,Intel,Intel,,,
Intel Pentium G4600T,CPU,01/03/2017,14,35,188.4404446,1929.922279,3000,Intel,Intel,,,
Intel Core i7-960,CPU,10/20/2009,45,130,263,731,3200,Intel,Intel,,,
AMD Athlon 64 FX-57,CPU,6/27/2005,90,104,115,114,2800,Unknown,AMD,,,
AMD A4-5150M,CPU,03/12/2013,32,35,246,1178,2700,Unknown,AMD,,,
Intel Core i7-8700K,CPU,10/05/2017,14,95,154,1929.922279,3700,Intel,Intel,,,
Intel Core 2 Duo E7300,CPU,08/10/2008,45,65,107,420,2667,Intel,Intel,,,
AMD Athlon X2 6500 BE,CPU,09/08/2008,65,95,285,450,2300,Unknown,AMD,,,
Intel Xeon Gold 5318S,CPU,04/06/2021,10,165,188.4404446,1929.922279,2100,Intel,Intel,,,
AMD A6-9550,CPU,7/27/2017,28,65,246,1178,3800,Unknown,AMD,,,
AMD Athlon XP 1700+,CPU,01/01/2001,130,50,80,37,1467,Unknown,AMD,,,
AMD Sempron 3500+ EE SFF,CPU,5/23/2006,90,35,103,81,2000,Unknown,AMD,,,
Intel Pentium G630,CPU,09/04/2011,32,65,131,504,2700,Intel,Intel,,,
AMD Opteron 148,CPU,08/02/2005,90,85,188.4404446,106,2200,Unknown,AMD,,,
Intel Xeon Gold 5320T,CPU,04/06/2021,10,150,188.4404446,1929.922279,2300,Intel,Intel,,,
AMD Ryzen 5 2600H,CPU,5/30/2018,14,15,246,1929.922279,3300,GF,AMD,,,
Intel Core i5-8250U,CPU,8/21/2017,14,15,123,1929.922279,1600,Intel,Intel,,,
Intel Pentium E6500,CPU,08/09/2009,45,65,82,228,2933,Intel,Intel,,,
Intel Core i5-3335S,CPU,11/01/2012,22,65,160,1480,2700,Intel,Intel,,,
Intel Pentium G2120,CPU,09/03/2012,22,55,94,1929.922279,3100,Intel,Intel,,,
Intel Core i7-6700TE,CPU,09/01/2015,14,35,188.4404446,1929.922279,2400,Intel,Intel,,,
Intel Pentium 4 HT 640,CPU,2/20/2005,90,84,109,169,3200,Intel,Intel,,,
AMD Athlon 220GE,CPU,12/21/2018,14,35,192,4800,3400,Unknown,AMD,,,
AMD EPYC 7313,CPU,3/15/2021,7,155,188.4404446,1929.922279,3000,TSMC,AMD,,,
AMD Opteron 156,CPU,05/01/2005,90,104,188.4404446,106,3000,Unknown,AMD,,,
AMD Phenom II X4 970 BE,CPU,9/21/2010,45,125,258,758,3500,Unknown,AMD,,,
Intel Core i5-8650,CPU,09/01/2018,14,65,188.4404446,1929.922279,3100,Intel,Intel,,,
Intel Xeon E5506,CPU,3/30/2009,45,80,263,731,2133,Intel,Intel,,,
Intel Core i3-6100,CPU,09/01/2015,14,51,150,1400,3700,Intel,Intel,,,
AMD Ryzen Threadripper PRO 3995WX,CPU,7/14/2020,7,280,74,3800,2700,TSMC,AMD,,,
Intel Pentium 4 HT 517,CPU,01/01/2001,90,84,109,125,2933,Intel,Intel,,,
AMD Athlon II X2 270u,CPU,9/21/2010,45,25,117,410,2000,Unknown,AMD,,,
AMD Athlon 64 3000+,CPU,10/14/2004,90,67,84,69,1800,Unknown,AMD,,,
Intel Xeon L5640,CPU,3/16/2010,32,60,239,1170,2266,Intel,Intel,,,
Intel Xeon Silver 4314,CPU,04/06/2021,10,135,188.4404446,1929.922279,2400,Intel,Intel,,,
AMD A6-9120C SoC,CPU,01/07/2019,28,6,124,1200,1600,Unknown,AMD,,,
Intel Core i9-10920X,CPU,10/19/2019,14,165,188.4404446,1929.922279,3500,Intel,Intel,,,
Intel Core i5-1035G7,CPU,08/01/2019,10,25,188.4404446,1929.922279,1200,Intel,Intel,,,
AMD Opteron 244,CPU,5/18/2004,130,82,193,106,1800,Unknown,AMD,,,
Intel Celeron B830,CPU,09/01/2012,32,35,131,504,1800,Intel,Intel,,,
AMD Sempron 3000+,CPU,5/23/2006,90,62,103,81,1600,Unknown,AMD,,,
AMD Athlon 64 X2 5000+ EE,CPU,09/06/2006,90,65,220,154,2600,Unknown,AMD,,,
Intel Core i9-9980HK,CPU,4/23/2019,14,45,149,1929.922279,2400,Intel,Intel,,,
Intel Xeon Gold 6338T,CPU,04/06/2021,10,165,188.4404446,1929.922279,2100,Intel,Intel,,,
AMD Opteron X2 265,CPU,5/31/2005,90,95,188.4404446,233,1800,Unknown,AMD,,,
Intel Pentium 4 HT 3.6E,CPU,08/04/2004,90,115,109,125,3600,Intel,Intel,,,
AMD Athlon 64 LE-1640,CPU,10/08/2007,90,45,230,227,2600,Unknown,AMD,,,
AMD Athlon 64 3700+,CPU,01/01/2001,90,89,199,233,2200,Unknown,AMD,,,
Intel Xeon 7120M,CPU,8/27/2006,65,95,435,1328,3000,Intel,Intel,,,
Intel Core i9-10980XE,CPU,10/19/2019,14,165,188.4404446,1929.922279,3000,Intel,Intel,,,
Intel Core i3-4360,CPU,05/01/2014,22,54,177,1400,3700,Intel,Intel,,,
Intel Core i5-1130G7,CPU,09/02/2020,10,15,188.4404446,1929.922279,1100,Intel,Intel,,,
AMD Ryzen 5 PRO 4650GE,CPU,7/21/2020,7,35,188.4404446,1929.922279,3300,TSMC,AMD,,,
AMD Phenom II X3 710,CPU,02/09/2009,45,95,258,758,2600,Unknown,AMD,,,
Intel Pentium Silver J5005,CPU,12/01/2017,14,10,188.4404446,1929.922279,1500,Intel,Intel,,,
AMD Opteron 150,CPU,08/02/2005,90,85,188.4404446,106,2400,Unknown,AMD,,,
Intel Pentium M 1.30,CPU,03/12/2003,130,24,100,77,1300,Intel,Intel,,,
AMD Ryzen 5 3600X,CPU,07/07/2019,7,95,74,3800,3800,TSMC,AMD,,,
Intel Pentium 4 HT 520,CPU,6/21/2004,90,84,109,125,2933,Intel,Intel,,,
AMD Opteron 846 HE,CPU,03/01/2005,90,55,188.4404446,106,2000,Unknown,AMD,,,
Intel Xeon Platinum 9242,CPU,04/02/2019,14,350,188.4404446,8000,2300,Intel,Intel,,,
Intel Core i3-10105,CPU,3/16/2021,14,65,188.4404446,1929.922279,3700,Intel,Intel,,,
Intel Core i9-9960X,CPU,10/19/2018,14,165,188.4404446,1929.922279,3100,Intel,Intel,,,
AMD Athlon II X2 240e,CPU,10/20/2009,45,45,117,410,2800,Unknown,AMD,,,
AMD A8-3530MX,CPU,6/14/2011,32,45,228,1178,1900,Unknown,AMD,,,
Intel Core 2 Quad Q8400,CPU,4/19/2009,45,95,82,456,2666,Intel,Intel,,,
Intel Core i5-7600K,CPU,01/03/2017,14,91,188.4404446,1929.922279,3800,Intel,Intel,,,
AMD Sempron 3300+,CPU,8/19/2005,90,62,188.4404446,63,2000,Unknown,AMD,,,
Intel Xeon E5-2680 v2,CPU,09/01/2013,22,115,160,1400,2800,Intel,Intel,,,
AMD Athlon 64 3400+,CPU,01/01/2001,90,67,84,69,2400,Unknown,AMD,,,
AMD Athlon 64 X2 4800+ EE,CPU,5/23/2006,90,65,220,154,2400,Unknown,AMD,,,
Intel Atom S1260,CPU,12/11/2012,32,9,188.4404446,1929.922279,2000,Intel,Intel,,,
Intel Pentium Gold G5500,CPU,04/02/2018,14,51,188.4404446,1929.922279,3800,Intel,Intel,,,
AMD Opteron 6380,CPU,11/05/2012,32,115,315,2400,2500,Unknown,AMD,,,
AMD Athlon II X4 630,CPU,9/16/2009,45,95,169,300,2800,Unknown,AMD,,,
AMD Athlon 64 X2 4200+,CPU,12/01/2006,65,65,126,154,2200,Unknown,AMD,,,
Intel Atom E3815,CPU,10/08/2013,22,5,188.4404446,1929.922279,1467,Intel,Intel,,,
Intel Mobile Pentium 4 HT 548,CPU,9/28/2004,90,88,112,125,3334,Intel,Intel,,,
Intel Pentium 4 2.4,CPU,04/02/2002,130,110,146,55,2400,Intel,Intel,,,
AMD Athlon II X3 420e,CPU,9/21/2010,45,45,169,300,2600,Unknown,AMD,,,
Intel Core i5-750s,CPU,01/07/2010,45,82,296,774,2400,Intel,Intel,,,
AMD Phenom II X4 650T,CPU,07/01/2011,45,95,346,904,2700,Unknown,AMD,,,
Intel Core i3-3240T,CPU,09/03/2012,22,35,94,1929.922279,3000,Intel,Intel,,,
Intel Pentium 3556U,CPU,09/01/2013,22,15,118,1400,1700,Intel,Intel,,,
AMD Athlon X2 4850e,CPU,03/05/2008,65,45,126,154,2500,Unknown,AMD,,,
Intel Core i3-2130,CPU,09/04/2011,32,65,131,504,3400,Intel,Intel,,,
Intel Celeron G1820,CPU,12/01/2013,22,54,177,1400,2700,Intel,Intel,,,
Intel Core i5-5200U,CPU,03/01/2015,14,15,188.4404446,1929.922279,2200,Intel,Intel,,,
Intel Core i9-9900X,CPU,10/19/2018,14,165,188.4404446,1929.922279,3500,Intel,Intel,,,
AMD Opteron 244,CPU,4/22/2003,130,85,193,106,1800,Unknown,AMD,,,
Intel Xeon E5-2643 v2,CPU,09/01/2013,22,130,160,1400,3500,Intel,Intel,,,
Intel Celeron 2955U,CPU,09/01/2013,22,15,118,1400,1400,Intel,Intel,,,
AMD Phenom II X4 905e,CPU,06/02/2009,45,65,258,758,2500,Unknown,AMD,,,
Intel Atom Z520,CPU,04/02/2008,45,2,26,47,1334,Intel,Intel,,,
AMD Athlon XP 2400+,CPU,09/01/2003,130,68,188.4404446,63,2000,Unknown,AMD,,,
AMD Sempron 2600+,CPU,7/28/2004,130,62,80,37,1833,Unknown,AMD,,,
Intel Pentium III 1133,CPU,7/31/2000,180,29,80,44,1133,Intel,Intel,,,
Intel Core i3-2120,CPU,2/20/2011,32,65,131,504,3300,Intel,Intel,,,
Intel Xeon 3.6,CPU,2/14/2005,90,135,169,178,3600,Intel,Intel,,,
Intel Celeron G550,CPU,06/01/2012,32,65,131,504,2600,Intel,Intel,,,
Intel Xeon E7-4809 v3,CPU,06/01/2015,22,115,160,1400,2000,Intel,Intel,,,
Intel Xeon E7-4820 v3,CPU,06/01/2015,22,115,160,1400,1900,Intel,Intel,,,
Intel Core i7-4710HQ,CPU,04/01/2014,22,47,264,1400,2500,Intel,Intel,,,
AMD Sempron 3200+,CPU,5/23/2006,90,62,103,81,1800,Unknown,AMD,,,
AMD Athlon II X3 435,CPU,10/09/2009,45,95,169,300,2900,Unknown,AMD,,,
Intel Xeon E3-1225 v2,CPU,5/14/2012,22,77,160,1400,3200,Intel,Intel,,,
Intel Core i7-6900K,CPU,5/31/2016,14,140,188.4404446,1929.922279,3200,Intel,Intel,,,
Intel Core i5-11400,CPU,3/16/2021,14,65,188.4404446,1929.922279,2600,Intel,Intel,,,
Intel Pentium 4 HT 670,CPU,5/26/2005,90,84,109,169,3800,Intel,Intel,,,
AMD FX-6100,CPU,10/12/2011,32,95,315,1200,3300,Unknown,AMD,,,
AMD Athlon 64 X2 3600+,CPU,01/01/2001,90,89,156,154,2000,Unknown,AMD,,,
Intel Xeon 5060,CPU,5/23/2006,65,130,188.4404446,1929.922279,3200,Intel,Intel,,,
AMD Mobile Athlon 64 2700+,CPU,08/01/2005,130,35,193,106,1600,Unknown,AMD,,,
Intel Xeon E5-2650L v2,CPU,09/01/2013,22,70,160,1400,1700,Intel,Intel,,,
Intel Core i5-661,CPU,01/07/2010,32,87,81,382,3333,Intel,Intel,,,
AMD Athlon 64 3800+,CPU,04/04/2005,90,89,83,69,2400,Unknown,AMD,,,
Intel Celeron N2920,CPU,12/01/2013,22,7,188.4404446,1929.922279,1860,Intel,Intel,,,
AMD FX-4100,CPU,10/12/2011,32,95,315,1200,3600,Unknown,AMD,,,
Intel Core i3-8121U,CPU,05/05/2018,10,28,123,1929.922279,2200,Intel,Intel,,,
Intel Pentium G6951,CPU,09/01/2010,32,73,81,382,2800,Intel,Intel,,,
AMD Sempron 2300+,CPU,01/01/2001,130,62,101,63,1583,Unknown,AMD,,,
AMD FX-6130,CPU,10/23/2012,32,95,315,1200,3600,Unknown,AMD,,,
AMD Phenom II X4 B93,CPU,10/01/2009,45,95,258,758,2800,Unknown,AMD,,,
AMD Opteron 242,CPU,4/22/2003,130,85,193,106,1600,Unknown,AMD,,,
AMD Ryzen Threadripper 3980X,CPU,11/14/2019,7,280,74,3800,3500,TSMC,AMD,,,
Intel Core 2 Duo E4700,CPU,03/02/2008,65,65,111,167,2600,Intel,Intel,,,
Intel Core i3-2332M,CPU,09/01/2011,32,35,149,624,2200,Intel,Intel,,,
Intel Core i7-870,CPU,09/08/2009,45,95,296,774,2933,Intel,Intel,,,
AMD A6-1450,CPU,5/23/2013,32,8,246,1178,1000,Unknown,AMD,,,
Intel Pentium D 960,CPU,05/02/2006,65,130,140,376,3600,Intel,Intel,,,
Intel Core i7-10700,CPU,4/30/2020,14,65,188.4404446,1929.922279,2900,Intel,Intel,,,
AMD Opteron 842,CPU,6/30/2003,130,85,193,106,1600,Unknown,AMD,,,
Intel Core Solo T1400,CPU,01/05/2006,65,27,90,151,1833,Intel,Intel,,,
AMD Athlon 64 4000+,CPU,01/01/2001,90,89,199,233,2400,Unknown,AMD,,,
AMD A4-3305M,CPU,6/14/2011,32,35,228,1178,1900,Unknown,AMD,,,
AMD Ryzen 5 2600E,CPU,9/19/2018,12,65,192,4800,3100,GF,AMD,,,
Intel Core i9-9880H,CPU,4/23/2019,14,45,149,1929.922279,2300,Intel,Intel,,,
Intel Core i7-4558U,CPU,06/04/2013,22,28,118,1300,2800,Intel,Intel,,,
Intel Core i7-3940XM,CPU,09/03/2012,22,55,160,1400,3000,Intel,Intel,,,
AMD Opteron 250 HE,CPU,03/01/2005,90,55,188.4404446,106,2400,Unknown,AMD,,,
Intel Xeon W3503,CPU,3/30/2009,45,130,263,731,2400,Intel,Intel,,,
AMD Athlon 64 3000+,CPU,01/01/2001,90,51,84,69,2000,Unknown,AMD,,,
Intel Core i9-9900K,CPU,10/19/2018,14,95,180,1929.922279,3600,Intel,Intel,,,
Intel Pentium 4 HT EE 3.40,CPU,6/21/2004,130,110,237,178,3400,Intel,Intel,,,
Intel Xeon Silver 4116,CPU,07/11/2017,14,85,188.4404446,8000,2100,Intel,Intel,,,
AMD Phenom X3 8450,CPU,4/23/2008,65,95,285,450,2100,Unknown,AMD,,,
Intel Core i3-530,CPU,01/07/2010,32,73,81,382,2933,Intel,Intel,,,
AMD Athlon II X4 641,CPU,02/06/2012,32,100,228,1178,2800,Unknown,AMD,,,
AMD Sempron 3400+,CPU,10/01/2005,90,62,84,63,2000,Unknown,AMD,,,
AMD Ryzen 7 5700G,CPU,4/13/2021,7,65,188.4404446,1929.922279,3800,TSMC,AMD,,,
Intel Xeon Silver 4309Y,CPU,04/06/2021,10,105,188.4404446,1929.922279,2800,Intel,Intel,,,
Intel Core i7-4550U,CPU,06/04/2013,22,15,118,1300,1500,Intel,Intel,,,
AMD Opteron 144,CPU,09/09/2003,130,82,193,106,1800,Unknown,AMD,,,
Intel Core i5-2415M,CPU,09/01/2011,32,35,149,624,2300,Intel,Intel,,,
Intel Core i3-8100T,CPU,04/02/2018,14,35,188.4404446,1929.922279,3100,Intel,Intel,,,
AMD Mobile Athlon 64 2800+,CPU,08/01/2004,130,82,193,106,1800,Unknown,AMD,,,
Intel Pentium III 1333,CPU,12/01/2001,130,30,80,44,1333,Intel,Intel,,,
Intel Xeon W3680,CPU,3/16/2010,32,130,239,1170,3333,Intel,Intel,,,
Intel Core i5-11600K,CPU,3/16/2021,14,125,188.4404446,1929.922279,3900,Intel,Intel,,,
AMD EPYC 7543,CPU,3/15/2021,7,225,188.4404446,1929.922279,2800,TSMC,AMD,,,
AMD Phenom II X4 960T BE,CPU,06/01/2010,45,95,346,904,3000,Unknown,AMD,,,
Intel Core i9-11900KF,CPU,3/16/2021,14,125,188.4404446,1929.922279,3500,Intel,Intel,,,
AMD Ryzen 7 5800H,CPU,01/12/2021,7,54,156,9800,3200,TSMC,AMD,,,
AMD Opteron X2 280,CPU,9/26/2005,90,95,188.4404446,233,2400,Unknown,AMD,,,
AMD Athlon 1133,CPU,10/31/2000,180,63,120,37,1133,Unknown,AMD,,,
Intel Pentium 4 HT 520,CPU,6/21/2004,90,84,109,125,2800,Intel,Intel,,,
AMD FX-8370,CPU,09/02/2014,32,125,315,1200,4000,Unknown,AMD,,,
AMD Ryzen 7 3700U,CPU,01/06/2019,12,15,210,4940,2300,GF,AMD,,,
Intel Core i7-6800K,CPU,5/31/2016,14,140,188.4404446,1929.922279,3400,Intel,Intel,,,
Intel Core i5-7400T,CPU,01/03/2017,14,35,188.4404446,1929.922279,2400,Intel,Intel,,,
AMD Phenom II X2 545,CPU,06/01/2009,45,80,258,758,3000,Unknown,AMD,,,
Intel Core 2 Quad Q6700,CPU,4/20/2007,65,95,143,582,2666,Intel,Intel,,,
Intel Core i7-4870HQ,CPU,07/01/2014,22,47,264,1400,2500,Intel,Intel,,,
AMD Athlon 600,CPU,06/05/2000,180,38,120,37,600,Unknown,AMD,,,
AMD Athlon II X2 235e,CPU,10/20/2009,45,45,117,410,2700,Unknown,AMD,,,
Intel Pentium M 735,CPU,05/10/2004,90,21,84,140,1700,Intel,Intel,,,
AMD Athlon 64 X2 5800+,CPU,04/01/2008,65,89,126,154,3000,Unknown,AMD,,,
AMD Athlon XP 2000+,CPU,09/01/2003,130,60,188.4404446,63,1667,Unknown,AMD,,,
Intel Core i5-680,CPU,4/19/2010,32,73,81,382,3600,Intel,Intel,,,
Intel Pentium 4 506,CPU,06/01/2005,90,84,109,125,2660,Intel,Intel,,,
